read_blif                       |  Entries:    20736  |  Origins:    20736  |  Ratio:   1.00
&get                            |  Entries:     6760  |  Origins:    17458  |  Ratio:   2.58
&st                             |  Entries:     6760  |  Origins:    17458  |  Ratio:   2.58
&sweep                          |  Entries:     6298  |  Origins:    17011  |  Ratio:   2.70
&nf                             |  Entries:     6298  |  Origins:    17011  |  Ratio:   2.70
&st                             |  Entries:     6298  |  Origins:    17011  |  Ratio:   2.70
&syn2                           |  Entries:     5567  |  Origins:    18558  |  Ratio:   3.33
&if                             |  Entries:     5528  |  Origins:    18605  |  Ratio:   3.37
&synch2                         |  Entries:     7586  |  Origins:    27458  |  Ratio:   3.62
&nf                             |  Entries:     7586  |  Origins:    27458  |  Ratio:   3.62
&st                             |  Entries:     5382  |  Origins:    19500  |  Ratio:   3.62
&syn2                           |  Entries:     5411  |  Origins:    18342  |  Ratio:   3.39
&if                             |  Entries:     5341  |  Origins:    18601  |  Ratio:   3.48
&synch2                         |  Entries:     6931  |  Origins:    25992  |  Ratio:   3.75
&nf                             |  Entries:     6931  |  Origins:    25992  |  Ratio:   3.75
&st                             |  Entries:     5352  |  Origins:    18743  |  Ratio:   3.50
&syn2                           |  Entries:     5373  |  Origins:    18279  |  Ratio:   3.40
&if                             |  Entries:     5298  |  Origins:    18451  |  Ratio:   3.48
&synch2                         |  Entries:     6543  |  Origins:    23876  |  Ratio:   3.65
&nf                             |  Entries:     6543  |  Origins:    23876  |  Ratio:   3.65
&st                             |  Entries:     5351  |  Origins:    18799  |  Ratio:   3.51
&syn2                           |  Entries:     5359  |  Origins:    18370  |  Ratio:   3.43
&if                             |  Entries:     5278  |  Origins:    18792  |  Ratio:   3.56
&synch2                         |  Entries:     6502  |  Origins:    24368  |  Ratio:   3.75
&nf                             |  Entries:     6502  |  Origins:    24368  |  Ratio:   3.75
&st                             |  Entries:     5336  |  Origins:    19005  |  Ratio:   3.56
&syn2                           |  Entries:     5365  |  Origins:    18887  |  Ratio:   3.52
&if                             |  Entries:     5279  |  Origins:    19356  |  Ratio:   3.67
&synch2                         |  Entries:     6734  |  Origins:    27339  |  Ratio:   4.06
&nf                             |  Entries:     6734  |  Origins:    27339  |  Ratio:   4.06
&put                            |  Entries:     4481  |  Origins:    21606  |  Ratio:   4.82
write_blif                      |  Entries:     4481  |  Origins:    21606  |  Ratio:   4.82
